Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
perkPistolLicenseEnchantMagazineDesc,progression,Perk,,,Strengthen amount pistol magazine type of weapon,,,,,,ピストル兵器のマガジンサイズを改善する,,,,,,强化手枪类武器的弹匣量,強化手槍類武器的彈匣量,
perkPistolLicenseEnchantReloadAmmoName,progression,Perk,,,Pistol: Reloading enhancement,,,,,,ピストル：リロードの機能強化,,,,,,手枪：装填强化,手槍：裝填強化,
perkPistolLicenseEnchantReloadAmmoDesc,progression,Perk,,,Strengthen the reload speed gun type of weapon,,,,,,ピストル兵器のリロード速度を改善する,,,,,,强化手枪类武器的装填速度,強化手槍類武器的裝填速度,
perkPistolLicenseEnchantShootingSpeedName,progression,Perk,,,Pistol: shooting speed enhancement,,,,,,ピストル：シュートスピードの向上,,,,,,手枪：射速强化,手槍：射速強化,
perkPistolLicenseEnchantShootingSpeedDesc,progression,Perk,,,Strengthen the firing speed of pistol weapons,,,,,,ピストル兵器の発射速度を強化する,,,,,,强化手枪类武器的射击速度,強化手槍類武器的射擊速度,
perkPistolLicenseEnchantShootingDistanceName,progression,Perk,,,Pistol: Enhanced range,,,,,,ピストル：拡張範囲,,,,,,手枪：射程强化,手槍：射程強化,
perkPistolLicenseEnchantShootingDistanceDesc,progression,Perk,,,Strengthen the shooting range of pistol weapons,,,,,,ピストル兵器の射程距離を強化,,,,,,强化手枪类武器的射击距离,強化手槍類武器的射擊距離,
perkPistolLicenseEnchantEntityDamageName,progression,Perk,,,Pistol: Physical damage enhancement,,,,,,ピストル：物理的ダメージの強化,,,,,,手枪：实体伤害强化,手槍：實體傷害強化,
perkPistolLicenseEnchantEntityDamageDesc,progression,Perk,,,Strengthen the physical damage of pistol weapons,,,,,,ピストル兵器の強化された物理的ダメージ,,,,,,强化手枪类武器的实体伤害量,強化手槍類武器的實體傷害量,
perkPistolLicenseEnchantMagazineRank01Desc,progression,Perk,,,Magazine +100%,,,,,,マガジン+ 100％,,,,,,弹匣量+100%,彈匣量+100%,
perkPistolLicenseEnchantMagazineRank02Desc,progression,Perk,,,Magazine +300%,,,,,,マガジン+ 300％,,,,,,弹匣量+300%,彈匣量+300%,
perkPistolLicenseEnchantMagazineRank03Desc,progression,Perk,,,Magazine +500%,,,,,,マガジン+ 500％,,,,,,弹匣量+500%,彈匣量+500%,
perkPistolLicenseEnchantMagazineRank01LongDesc,progression,Perk,,,Increase the number of bullets loaded,,,,,,ロードされる弾丸の数を増やす,,,,,,增加子弹上膛的数量,增加子彈上膛的數量,
perkPistolLicenseEnchantReloadAmmoRank01Desc,progression,Perk,,,Bullet reload speed +50%,,,,,,弾丸のリロード速度+ 50％,,,,,,装填速度+50%,裝填速度+50%,
perkPistolLicenseEnchantReloadAmmoRank02Desc,progression,Perk,,,Bullet reload speed +100%,,,,,,弾丸のリロード速度+ 100％,,,,,,装填速度+100%,裝填速度+100%,
perkPistolLicenseEnchantReloadAmmoRank03Desc,progression,Perk,,,Bullet reload speed +200%,,,,,,弾丸のリロード速度+ 200％,,,,,,装填速度+200%,裝填速度+200%,
perkPistolLicenseEnchantReloadAmmoRank01LongDesc,progression,Perk,,,Speed up the loading speed of the bullet,,,,,,弾丸の装填速度をスピードアップ,,,,,,加速子弹上膛的速度,加速子彈上膛的速度,
perkPistolLicenseEnchantShootingSpeedRank01Desc,progression,Perk,,,Fire speed +40%,,,,,,発射速度+ 40％,,,,,,射击速度+40%,射擊速度+40%,
perkPistolLicenseEnchantShootingSpeedRank02Desc,progression,Perk,,,Fire speed +70%,,,,,,発射速度+ 70％,,,,,,射击速度+70%,射擊速度+70%,
perkPistolLicenseEnchantShootingSpeedRank03Desc,progression,Perk,,,Fire speed +100%,,,,,,発射速度+ 100％,,,,,,射击速度+100%,射擊速度+100%,
perkPistolLicenseEnchantShootingSpeedRank01LongDesc,progression,Perk,,,Accelerate the rate of continuous fire,,,,,,継続的な発砲の速度を加速する,,,,,,加速连续射击的速度,加速連續射擊的速度,
perkPistolLicenseEnchantShootingDistanceRank01Desc,progression,Perk,,,Fire distance +20%,,,,,,発射距離+ 20％,,,,,,射击距离+20%,射擊距離+20%,
perkPistolLicenseEnchantShootingDistanceRank02Desc,progression,Perk,,,Fire distance +40%,,,,,,発射距離+ 40％,,,,,,射击距离+40%,射擊距離+40%,
perkPistolLicenseEnchantShootingDistanceRank03Desc,progression,Perk,,,Fire distance +80%,,,,,,発射距離+ 80％,,,,,,射击距离+80%,射擊距離+80%,
perkPistolLicenseEnchantShootingDistanceRank01LongDesc,progression,Perk,,,Increase the maximum range and effective range,,,,,,最大範囲と有効範囲を増やす,,,,,,增加最大射程与有效射程,增加最大射程與有效射程,
perkPistolLicenseEnchantEntityDamageRank01Desc,progression,Perk,,,Physical damage +100%,,,,,,物理的ダメージ+ 100％,,,,,,实体伤害+100%,實體傷害+100%,
perkPistolLicenseEnchantEntityDamageRank02Desc,progression,Perk,,,Physical damage +300%,,,,,,物理的ダメージ+ 300％,,,,,,实体伤害+300%,實體傷害+300%,
perkPistolLicenseEnchantEntityDamageRank03Desc,progression,Perk,,,Physical damage +500%,,,,,,物理的ダメージ+ 500％,,,,,,实体伤害+500%,實體傷害+500%,
perkPistolLicenseEnchantEntityDamageRank01LongDesc,progression,Perk,,,Increase the amount of damage to the entity,,,,,,エンティティへのダメージの量を増やす,,,,,,增加对实体的伤害量,增加對實體的傷害量,

perkShotgunLicenseName,progression,Perk,,,Shotgun license,,,,,,ショットガンのライセンス,,,,,,霰弹枪证照,霰彈槍證照,
perkShotgunLicenseDesc,progression,Perk,,,"Proficiency certificate shotgun\nBlunderbuss, Double Barrel Shotgun, Pump Shotgun, Auto Shotgun",,,,,,"ショットガンの習熟度証明書\nBlunderbuss, Double Barrel Shotgun, Pump Shotgun, Auto Shotgun",,,,,,"精通霰弹枪的认定证书\nBlunderbuss, Double Barrel Shotgun, Pump Shotgun, Auto Shotgun","精通霰彈槍的認定證書\nBlunderbuss, Double Barrel Shotgun, Pump Shotgun, Auto Shotgun",
perkShotgunLicenseRank1Desc,progression,Perk,,,"Physical Attack +1%, Block Attack +1%",,,,,,物理攻撃力 +1％、ブロック攻撃力 +1％,,,,,,增加实体攻击力1%，增加方块攻击力1%,增加實體攻擊力1%，增加方塊攻擊力1%,
perkShotgunLicenseRank1LongDesc,progression,Perk,,,After obtaining the basis of a certificate given bonus.,,,,,,証明書取得後に付与される基本ボーナス。,,,,,,取得证书后所给予的基础加成。,取得證書後所給予的基礎加成。,
perkShotgunLicenseEnchantMagazineName,progression,Perk,,,Shotgun: Enhanced magazine,,,,,,ショットガン：強化弾薬,,,,,,霰弹枪：弹匣强化,霰彈槍：彈匣強化,
perkShotgunLicenseEnchantMagazineDesc,progression,Perk,,,Strengthen amount shotgun magazine type of weapon,,,,,,ショットガン兵器のマガジンサイズを改善する,,,,,,强化霰弹枪类武器的弹匣量,強化霰彈槍類武器的彈匣量,
perkShotgunLicenseEnchantReloadAmmoName,progression,Perk,,,Shotgun: Reloading enhancement,,,,,,ショットガン：リロードの機能強化,,,,,,霰弹枪：装填强化,霰彈槍：裝填強化,
perkShotgunLicenseEnchantReloadAmmoDesc,progression,Perk,,,Strengthen the reload speed shotgun type of weapon,,,,,,ショットガン兵器のリロード速度を改善する,,,,,,强化霰弹枪类武器的装填速度,強化霰彈槍類武器的裝填速度,
perkShotgunLicenseEnchantShootingSpeedName,progression,Perk,,,Shotgun: shooting speed enhancement,,,,,,ショットガン：シュートスピードの向上,,,,,,霰弹枪：射速强化,霰彈槍：射速強化,
perkShotgunLicenseEnchantShootingSpeedDesc,progression,Perk,,,Strengthen the firing speed of shotgun weapons,,,,,,ショットガン兵器の発射速度を強化する,,,,,,强化霰弹枪类武器的射击速度,強化霰彈槍類武器的射擊速度,
perkShotgunLicenseEnchantShootingDistanceName,progression,Perk,,,Shotgun: Enhanced range,,,,,,ショットガン：拡張範囲,,,,,,霰弹枪：射程强化,霰彈槍：射程強化,
perkShotgunLicenseEnchantShootingDistanceDesc,progression,Perk,,,Strengthen the shooting range of shotgun weapons,,,,,,ショットガン兵器の射程距離を強化,,,,,,强化霰弹枪类武器的射击距离,強化霰彈槍類武器的射擊距離,
perkShotgunLicenseEnchantEntityDamageName,progression,Perk,,,Shotgun: Physical damage enhancement,,,,,,ショットガン：物理的ダメージの強化,,,,,,霰弹枪：实体伤害强化,霰彈槍：實體傷害強化,
perkShotgunLicenseEnchantEntityDamageDesc,progression,Perk,,,Strengthen the physical damage of shotgun weapons,,,,,,ショットガン兵器の強化された物理的ダメージ,,,,,,强化霰弹枪类武器的实体伤害量,強化霰彈槍類武器的實體傷害量,
perkShotgunLicenseEnchantMagazineRank01Desc,progression,Perk,,,Magazine +100%,,,,,,マガジン+ 100％,,,,,,弹匣量+100%,彈匣量+100%,
perkShotgunLicenseEnchantMagazineRank02Desc,progression,Perk,,,Magazine +300%,,,,,,マガジン+ 300％,,,,,,弹匣量+300%,彈匣量+300%,
perkShotgunLicenseEnchantMagazineRank03Desc,progression,Perk,,,Magazine +500%,,,,,,マガジン+ 500％,,,,,,弹匣量+500%,彈匣量+500%,
perkShotgunLicenseEnchantMagazineRank01LongDesc,progression,Perk,,,Increase the number of bullets loaded,,,,,,ロードされる弾丸の数を増やす,,,,,,增加子弹上膛的数量,增加子彈上膛的數量,
perkShotgunLicenseEnchantReloadAmmoRank01Desc,progression,Perk,,,Bullet reload speed +50%,,,,,,弾丸のリロード速度+ 50％,,,,,,装填速度+50%,裝填速度+50%,
perkShotgunLicenseEnchantReloadAmmoRank02Desc,progression,Perk,,,Bullet reload speed +100%,,,,,,弾丸のリロード速度+ 100％,,,,,,装填速度+100%,裝填速度+100%,
perkShotgunLicenseEnchantReloadAmmoRank03Desc,progression,Perk,,,Bullet reload speed +200%,,,,,,弾丸のリロード速度+ 200％,,,,,,装填速度+200%,裝填速度+200%,
perkShotgunLicenseEnchantReloadAmmoRank01LongDesc,progression,Perk,,,Speed up the loading speed of the bullet,,,,,,弾丸の装填速度をスピードアップ,,,,,,加速子弹上膛的速度,加速子彈上膛的速度,
perkShotgunLicenseEnchantShootingSpeedRank01Desc,progression,Perk,,,Fire speed +40%,,,,,,発射速度+ 40％,,,,,,射击速度+40%,射擊速度+40%,
perkShotgunLicenseEnchantShootingSpeedRank02Desc,progression,Perk,,,Fire speed +70%,,,,,,発射速度+ 70％,,,,,,射击速度+70%,射擊速度+70%,
perkShotgunLicenseEnchantShootingSpeedRank03Desc,progression,Perk,,,Fire speed +100%,,,,,,発射速度+ 100％,,,,,,射击速度+100%,射擊速度+100%,
perkShotgunLicenseEnchantShootingSpeedRank01LongDesc,progression,Perk,,,Accelerate the rate of continuous fire,,,,,,継続的な発砲の速度を加速する,,,,,,加速连续射击的速度,加速連續射擊的速度,
perkShotgunLicenseEnchantShootingDistanceRank01Desc,progression,Perk,,,Fire distance +20%,,,,,,発射距離+ 20％,,,,,,射击距离+20%,射擊距離+20%,
perkShotgunLicenseEnchantShootingDistanceRank02Desc,progression,Perk,,,Fire distance +40%,,,,,,発射距離+ 40％,,,,,,射击距离+40%,射擊距離+40%,
perkShotgunLicenseEnchantShootingDistanceRank03Desc,progression,Perk,,,Fire distance +80%,,,,,,発射距離+ 80％,,,,,,射击距离+80%,射擊距離+80%,
perkShotgunLicenseEnchantShootingDistanceRank01LongDesc,progression,Perk,,,Increase the maximum range and effective range,,,,,,最大範囲と有効範囲を増やす,,,,,,增加最大射程与有效射程,增加最大射程與有效射程,
perkShotgunLicenseEnchantEntityDamageRank01Desc,progression,Perk,,,Physical damage +100%,,,,,,物理的ダメージ+ 100％,,,,,,实体伤害+100%,實體傷害+100%,
perkShotgunLicenseEnchantEntityDamageRank02Desc,progression,Perk,,,Physical damage +300%,,,,,,物理的ダメージ+ 300％,,,,,,实体伤害+300%,實體傷害+300%,
perkShotgunLicenseEnchantEntityDamageRank03Desc,progression,Perk,,,Physical damage +500%,,,,,,物理的ダメージ+ 500％,,,,,,实体伤害+500%,實體傷害+500%,
perkShotgunLicenseEnchantEntityDamageRank01LongDesc,progression,Perk,,,Increase the amount of damage to the entity,,,,,,エンティティへのダメージの量を増やす,,,,,,增加对实体的伤害量,增加對實體的傷害量,

perkSniperRifleLicenseName,progression,Perk,,,Sniper rifle license,,,,,,スナイパーライフルのライセンス,,,,,,狙击枪证照,狙擊槍證照,
perkSniperRifleLicenseDesc,progression,Perk,,,"Proficiency certificate sniper rifle\nHunting Rifle, Marksman Rifle, Sniper Rifle",,,,,,"スナイパーライフルの習熟度証明書\nHunting Rifle, Marksman Rifle, Sniper Rifle",,,,,,"精通狙击枪的认定证书\nHunting Rifle, Marksman Rifle, Sniper Rifle","精通狙擊槍的認定證書\nHunting Rifle, Marksman Rifle, Sniper Rifle",
perkSniperRifleLicenseRank1Desc,progression,Perk,,,"Physical Attack +1%, Block Attack +1%",,,,,,物理攻撃力 +1％、ブロック攻撃力 +1％,,,,,,增加实体攻击力1%，增加方块攻击力1%,增加實體攻擊力1%，增加方塊攻擊力1%,
perkSniperRifleLicenseRank1LongDesc,progression,Perk,,,After obtaining the basis of a certificate given bonus.,,,,,,証明書取得後に付与される基本ボーナス。,,,,,,取得证书后所给予的基础加成。,取得證書後所給予的基礎加成。,
perkSniperRifleLicenseEnchantMagazineName,progression,Perk,,,Sniper rifle: Enhanced magazine,,,,,,スナイパーライフル：強化弾薬,,,,,,狙击枪：弹匣强化,狙擊槍：彈匣強化,
perkSniperRifleLicenseEnchantMagazineDesc,progression,Perk,,,Strengthen amount sniper rifle magazine type of weapon,,,,,,スナイパーライフル兵器のマガジンサイズを改善する,,,,,,强化狙击枪类武器的弹匣量,強化狙擊槍類武器的彈匣量,
perkSniperRifleLicenseEnchantReloadAmmoName,progression,Perk,,,Sniper rifle: Reloading enhancement,,,,,,スナイパーライフル：リロードの機能強化,,,,,,狙击枪：装填强化,狙擊槍：裝填強化,
perkSniperRifleLicenseEnchantReloadAmmoDesc,progression,Perk,,,Strengthen the reload speed sniper rifle type of weapon,,,,,,スナイパーライフル兵器のリロード速度を改善する,,,,,,强化狙击枪类武器的装填速度,強化狙擊槍類武器的裝填速度,
perkSniperRifleLicenseEnchantShootingSpeedName,progression,Perk,,,Sniper rifle: shooting speed enhancement,,,,,,スナイパーライフル：シュートスピードの向上,,,,,,狙击枪：射速强化,狙擊槍：射速強化,
perkSniperRifleLicenseEnchantShootingSpeedDesc,progression,Perk,,,Strengthen the firing speed of sniper rifle weapons,,,,,,スナイパーライフル兵器の発射速度を強化する,,,,,,强化狙击枪类武器的射击速度,強化狙擊槍類武器的射擊速度,
perkSniperRifleLicenseEnchantAimingSpeedName,progression,Perk,,,Sniper rifle: precise enhancement,,,,,,スナイパーライフル：正確な強化,,,,,,狙击枪：精准强化,狙擊槍：精準強化,
perkSniperRifleLicenseEnchantAimingSpeedDesc,progression,Perk,,,Strengthen sniper rifle weapon shooting accuracy,,,,,,スナイパーライフルの射撃精度を向上させる,,,,,,强化狙击枪类武器的射击精准度,強化狙擊槍類武器的射擊精準度,
perkSniperRifleLicenseEnchantMuteName,progression,Perk,,,Sniper rifle: silent enhancement,,,,,,スナイパーライフル：サイレントエンハンスメント,,,,,,狙击枪：静音强化,狙擊槍：靜音強化,
perkSniperRifleLicenseEnchantMuteDesc,progression,Perk,,,Strengthen the noise reduction ability of sniper rifle,,,,,,スナイパーライフルのノイズ低減能力を強化,,,,,,强化狙击枪类武器的消音能力,強化狙擊槍類武器的消音能力,
perkSniperRifleLicenseEnchantEntityDamageName,progression,Perk,,,Sniper rifle: Physical damage enhancement,,,,,,スナイパーライフル：物理的ダメージの強化,,,,,,狙击枪：实体伤害强化,狙擊槍：實體傷害強化,
perkSniperRifleLicenseEnchantEntityDamageDesc,progression,Perk,,,Strengthen the physical damage of sniper rifle weapons,,,,,,スナイパーライフル兵器の強化された物理的ダメージ,,,,,,强化狙击枪类武器的实体伤害量,強化狙擊槍類武器的實體傷害量,
perkSniperRifleLicenseEnchantMagazineRank01Desc,progression,Perk,,,Magazine +100%,,,,,,マガジン+ 100％,,,,,,弹匣量+100%,彈匣量+100%,
perkSniperRifleLicenseEnchantMagazineRank02Desc,progression,Perk,,,Magazine +300%,,,,,,マガジン+ 300％,,,,,,弹匣量+300%,彈匣量+300%,
perkSniperRifleLicenseEnchantMagazineRank03Desc,progression,Perk,,,Magazine +500%,,,,,,マガジン+ 500％,,,,,,弹匣量+500%,彈匣量+500%,
perkSniperRifleLicenseEnchantMagazineRank01LongDesc,progression,Perk,,,Increase the number of bullets loaded,,,,,,ロードされる弾丸の数を増やす,,,,,,增加子弹上膛的数量,增加子彈上膛的數量,
perkSniperRifleLicenseEnchantReloadAmmoRank01Desc,progression,Perk,,,Bullet reload speed +50%,,,,,,弾丸のリロード速度+ 50％,,,,,,装填速度+50%,裝填速度+50%,
perkSniperRifleLicenseEnchantReloadAmmoRank02Desc,progression,Perk,,,Bullet reload speed +100%,,,,,,弾丸のリロード速度+ 100％,,,,,,装填速度+100%,裝填速度+100%,
perkSniperRifleLicenseEnchantReloadAmmoRank03Desc,progression,Perk,,,Bullet reload speed +200%,,,,,,弾丸のリロード速度+ 200％,,,,,,装填速度+200%,裝填速度+200%,
perkSniperRifleLicenseEnchantReloadAmmoRank01LongDesc,progression,Perk,,,Speed up the loading speed of the bullet,,,,,,弾丸の装填速度をスピードアップ,,,,,,加速子弹上膛的速度,加速子彈上膛的速度,
perkSniperRifleLicenseEnchantShootingSpeedRank01Desc,progression,Perk,,,Fire speed +40%,,,,,,発射速度+ 40％,,,,,,射击速度+40%,射擊速度+40%,
perkSniperRifleLicenseEnchantShootingSpeedRank02Desc,progression,Perk,,,Fire speed +70%,,,,,,発射速度+ 70％,,,,,,射击速度+70%,射擊速度+70%,
perkSniperRifleLicenseEnchantShootingSpeedRank03Desc,progression,Perk,,,Fire speed +100%,,,,,,発射速度+ 100％,,,,,,射击速度+100%,射擊速度+100%,
perkSniperRifleLicenseEnchantShootingSpeedRank01LongDesc,progression,Perk,,,Accelerate the rate of continuous fire,,,,,,継続的な発砲の速度を加速する,,,,,,加速连续射击的速度,加速連續射擊的速度,
perkSniperRifleLicenseEnchantAimingSpeedRank01Desc,progression,Perk,,,Sight focus speed +100%\nShooting error when aiming-26%\nShooting error when sneaking-26%\nShooting error when walking-26%,,,,,,サイトフォーカス速度+ 100％\n照準時の射撃エラー-26％\nこっそりと撮影エラー-26％\n歩行時の射撃エラー-26％,,,,,,准星集中速度+100%\n瞄准时的射击误差-26%\n潜行时的射击误差-26%\n走路时的射击误差-26%,準星集中速度+100%\n瞄準時的射擊誤差-26%\n潛行時的射擊誤差-26%\n走路時的射擊誤差-26%,
perkSniperRifleLicenseEnchantAimingSpeedRank02Desc,progression,Perk,,,Sight focus speed +200%\nShooting error when aiming-52%\nShooting error when sneaking-52%\nShooting error when walking-52%,,,,,,サイトフォーカス速度+ 200％\n照準時の射撃エラー-52％\nこっそりと撮影エラー-52％\n歩行時の射撃エラー-52％,,,,,,准星集中速度+200%\n瞄准时的射击误差-52%\n潜行时的射击误差-52%\n走路时的射击误差-52%,準星集中速度+200%\n瞄準時的射擊誤差-52%\n潛行時的射擊誤差-52%\n走路時的射擊誤差-52%,
perkSniperRifleLicenseEnchantAimingSpeedRank03Desc,progression,Perk,,,Sight focus speed +300%\nShooting error when aiming-80%\nShooting error when sneaking-80%\nShooting error when walking-80%,,,,,,サイトフォーカス速度+ 300％\n照準時の射撃エラー-80％\nこっそりと撮影エラー-80％\n歩行時の射撃エラー-80％,,,,,,准星集中速度+300%\n瞄准时的射击误差-80%\n潜行时的射击误差-80%\n走路时的射击误差-80%,準星集中速度+300%\n瞄準時的射擊誤差-80%\n潛行時的射擊誤差-80%\n走路時的射擊誤差-80%,
perkSniperRifleLicenseEnchantAimingSpeedRank01LongDesc,progression,Perk,,,Accelerate the speed of the front sight and reduce the miss rate,,,,,,フロントサイトの速度を加速し、ミス率を減らします,,,,,,加速准星集中速度，并降低命中失误率,加速準星集中速度，並降低命中失誤率,
perkSniperRifleLicenseEnchantMuteRank01Desc,progression,Perk,,,Noise -20%,,,,,,ノイズ-20％,,,,,,噪音-20%,噪音-20%,
perkSniperRifleLicenseEnchantMuteRank02Desc,progression,Perk,,,Noise -50%,,,,,,ノイズ-50％,,,,,,噪音-50%,噪音-50%,
perkSniperRifleLicenseEnchantMuteRank03Desc,progression,Perk,,,Noise -80%,,,,,,ノイズ-80％,,,,,,噪音-80%,噪音-80%,
perkSniperRifleLicenseEnchantMuteRank01LongDesc,progression,Perk,,,Reduce all noise(Hold this type of weapon),,,,,,すべてのノイズを減らす（このタイプの武器を持ってください）,,,,,,降低一切噪音(手持该类武器),降低一切噪音(手持該類武器),
perkSniperRifleLicenseEnchantEntityDamageRank01Desc,progression,Perk,,,Physical damage +100%,,,,,,物理的ダメージ+ 100％,,,,,,实体伤害+100%,實體傷害+100%,
perkSniperRifleLicenseEnchantEntityDamageRank02Desc,progression,Perk,,,Physical damage +300%,,,,,,物理的ダメージ+ 300％,,,,,,实体伤害+300%,實體傷害+300%,
perkSniperRifleLicenseEnchantEntityDamageRank03Desc,progression,Perk,,,Physical damage +500%,,,,,,物理的ダメージ+ 500％,,,,,,实体伤害+500%,實體傷害+500%,
perkSniperRifleLicenseEnchantEntityDamageRank01LongDesc,progression,Perk,,,Increase the amount of damage to the entity,,,,,,エンティティへのダメージの量を増やす,,,,,,增加对实体的伤害量,增加對實體的傷害量,

perkMachineGunLicenseName,progression,Perk,,,Machine gun license,,,,,,マシンガンのライセンス,,,,,,机枪证照,機槍證照,
perkMachineGunLicenseDesc,progression,Perk,,,"Proficiency certificate machine gun\nAK-47 Machine Gun, Tactical Assault Rifle, M60 Machine Gun",,,,,,"マシンガンの習熟度証明書\nAK-47 Machine Gun, Tactical Assault Rifle, M60 Machine Gun",,,,,,"精通机枪的认定证书\nAK-47 Machine Gun, Tactical Assault Rifle, M60 Machine Gun","精通機槍的認定證書\nAK-47 Machine Gun, Tactical Assault Rifle, M60 Machine Gun",
perkMachineGunLicenseRank1Desc,progression,Perk,,,"Physical Attack +1%, Block Attack +1%",,,,,,物理攻撃力 +1％、ブロック攻撃力 +1％,,,,,,增加实体攻击力1%，增加方块攻击力1%,增加實體攻擊力1%，增加方塊攻擊力1%,
perkMachineGunLicenseRank1LongDesc,progression,Perk,,,After obtaining the basis of a certificate given bonus.,,,,,,証明書取得後に付与される基本ボーナス。,,,,,,取得证书后所给予的基础加成。,取得證書後所給予的基礎加成。,
perkMachineGunLicenseEnchantMagazineName,progression,Perk,,,Machine gun: Enhanced magazine,,,,,,マシンガン：強化弾薬,,,,,,机枪：弹匣强化,機槍：彈匣強化,
perkMachineGunLicenseEnchantMagazineDesc,progression,Perk,,,Strengthen amount machine gun magazine type of weapon,,,,,,マシンガン兵器のマガジンサイズを改善する,,,,,,强化机枪类武器的弹匣量,強化機槍類武器的彈匣量,
perkMachineGunLicenseEnchantReloadAmmoName,progression,Perk,,,Machine gun: Reloading enhancement,,,,,,マシンガン：リロードの機能強化,,,,,,机枪：装填强化,機槍：裝填強化,
perkMachineGunLicenseEnchantReloadAmmoDesc,progression,Perk,,,Strengthen the reload speed machine gun type of weapon,,,,,,マシンガン兵器のリロード速度を改善する,,,,,,强化机枪类武器的装填速度,強化機槍類武器的裝填速度,
perkMachineGunLicenseEnchantShootingSpeedName,progression,Perk,,,Machine gun: shooting speed enhancement,,,,,,マシンガン：シュートスピードの向上,,,,,,机枪：射速强化,機槍：射速強化,
