Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,latam,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese,spanish
plantedShotgunSlugBullet2,blocks,Farming,,,Armor-piercing bullet (growing),,,,,,装甲貫通弾（成長中）,,,,,,穿甲弹(生长中),穿甲彈(生長中),
plantedShotgunSlugBullet3,blocks,Farming,,,Armor-piercing bullet (mature),,,,,,装甲貫通弾（成熟）,,,,,,穿甲弹(成熟),穿甲彈(成熟),
plantedShotgunBreachingSlugBulletSeedling,blocks,Farming,,,Fragment bullet (seed),,,,,,破片爆弾（種子）,,,,,,突破弹(种子),突破彈(種子),
plantedShotgunBreachingSlugBulletSeedlingDesc,blocks,Farming,,,A magical plant that grows Fragment bullets.,,,,,,破片爆弾の弾丸を成長させる魔法の植物。,,,,,,会生长突破弹的神奇植物。,會生長突破彈的神奇植物。,
plantedShotgunBreachingSlugBullet2,blocks,Farming,,,Fragment bullet (growing),,,,,,破片爆弾（成長中）,,,,,,突破弹(生长中),突破彈(生長中),
plantedShotgunBreachingSlugBullet3,blocks,Farming,,,Fragment bullet (mature),,,,,,破片爆弾（成熟）,,,,,,突破弹(成熟),突破彈(成熟),
plantedBlunderbussBulletSeedling,blocks,Farming,,,Blunderbuss Ammo (seed),,,,,,ラッパ銃用弾薬（種子）,,,,,,雷筒弹药(种子),雷筒彈藥(種子),
plantedBlunderbussBulletSeedlingDesc,blocks,Farming,,,A magical plant that grows Blunderbuss ammo.,,,,,,ラッパ銃用弾薬の弾丸を成長させる魔法の植物。,,,,,,会生长雷筒弹药的神奇植物。,會生長雷筒彈藥的神奇植物。,
plantedBlunderbussBullet2,blocks,Farming,,,Blunderbuss Ammo (growing),,,,,,ラッパ銃用弾薬（成長中）,,,,,,雷筒弹药(生长中),雷筒彈藥(生長中),
plantedBlunderbussBullet3,blocks,Farming,,,Blunderbuss Ammo (mature),,,,,,ラッパ銃用弾薬（成熟）,,,,,,雷筒弹药(成熟),雷筒彈藥(成熟),
plantedJunkTurretRegularBulletSeedling,blocks,Farming,,,Robotic Turret Ammo (seed),,,,,,ロボット砲台用弾薬（種子）,,,,,,机器人炮塔弹药(种子),機器人炮塔彈藥(種子),
plantedJunkTurretRegularBulletSeedlingDesc,blocks,Farming,,,A magical plant that grows Robotic Turret ammo.,,,,,,ロボット砲台用弾薬の弾丸を成長させる魔法の植物。,,,,,,会生长机器人炮塔弹药的神奇植物。,會生長機器人炮塔彈藥的神奇植物。,
plantedJunkTurretRegularBullet2,blocks,Farming,,,Robotic Turret Ammo (growing),,,,,,ロボット砲台用弾薬（成長中）,,,,,,机器人炮塔弹药(生长中),機器人炮塔彈藥(生長中),
plantedJunkTurretRegularBullet3,blocks,Farming,,,Robotic Turret Ammo (mature),,,,,,ロボット砲台用弾薬（成熟）,,,,,,机器人炮塔弹药(成熟),機器人炮塔彈藥(成熟),
plantedRocketHEBulletSeedling,blocks,Farming,,,Rocket HE Ammo (seed),,,,,,榴弾ロケット（種子）,,,,,,高爆火箭弹(种子),火箭高爆彈(種子),
plantedRocketHEBulletSeedlingDesc,blocks,Farming,,,A magical plant that grows Rocket HE ammo.,,,,,,榴弾ロケットの弾丸を成長させる魔法の植物。,,,,,,会生长高爆火箭弹的神奇植物。,會生長火箭高爆彈的神奇植物。,
plantedRocketHEBullet2,blocks,Farming,,,Rocket HE Ammo (growing),,,,,,榴弾ロケット（成長中）,,,,,,高爆火箭弹(生长中),火箭高爆彈(生長中),
plantedRocketHEBullet3,blocks,Farming,,,Rocket HE Ammo (mature),,,,,,榴弾ロケット（成熟）,,,,,,高爆火箭弹(成熟),火箭高爆彈(成熟),
plantedRocketFragBulletSeedling,blocks,Farming,,,Rocket Frag Ammo (seed),,,,,,破砕ロケット（種子）,,,,,,火箭弹(种子),火箭彈(種子),
plantedRocketFragBulletSeedlingDesc,blocks,Farming,,,A magical plant that grows Rocket Frag ammo.,,,,,,破砕ロケットの弾丸を成長させる魔法の植物。,,,,,,会生长火箭弹的神奇植物。,會生長火箭彈的神奇植物。,
plantedRocketFragBullet2,blocks,Farming,,,Rocket Frag Ammo (growing),,,,,,破砕ロケット（成長中）,,,,,,火箭弹(生长中),火箭彈(生長中),
plantedRocketFragBullet3,blocks,Farming,,,Rocket Frag Ammo (mature),,,,,,破砕ロケット（成熟）,,,,,,火箭弹(成熟),火箭彈(成熟),
plantedArrowIronBulletSeedling,blocks,Farming,,,Iron Arrow Ammo (seed),,,,,,鉄矢（種子）,,,,,,铁箭(种子),鐵箭(種子),
plantedArrowIronBulletSeedlingDesc,blocks,Farming,,,A magical plant that grows Iron Arrow ammo.,,,,,,鉄矢の弾丸を成長させる魔法の植物。,,,,,,会生长铁箭的神奇植物。,會生長鐵箭的神奇植物。,
plantedArrowIronBullet2,blocks,Farming,,,Iron Arrow Ammo (growing),,,,,,鉄矢（成長中）,,,,,,铁箭(生长中),鐵箭(生長中),
plantedArrowIronBullet3,blocks,Farming,,,Iron Arrow Ammo (mature),,,,,,鉄矢（成熟）,,,,,,铁箭(成熟),鐵箭(成熟),
plantedArrowSteelAPBulletSeedling,blocks,Farming,,,Steel Arrow Ammo (seed),,,,,,鉄鋼矢（種子）,,,,,,钢箭(种子),鋼箭(種子),
plantedArrowSteelAPBulletSeedlingDesc,blocks,Farming,,,A magical plant that grows Steel Arrow ammo.,,,,,,鉄鋼矢の弾丸を成長させる魔法の植物。,,,,,,会生长钢箭的神奇植物。,會生長鋼箭的神奇植物。,
plantedArrowSteelAPBullet2,blocks,Farming,,,Steel Arrow Ammo (growing),,,,,,鉄鋼矢（成長中）,,,,,,钢箭(生长中),鋼箭(生長中),
plantedArrowSteelAPBullet3,blocks,Farming,,,Steel Arrow Ammo (mature),,,,,,鉄鋼矢（成熟）,,,,,,钢箭(成熟),鋼箭(成熟),
plantedArrowFlamingBulletSeedling,blocks,Farming,,,Flaming Arrow Ammo (seed),,,,,,燃焼矢（種子）,,,,,,燃烧箭(种子),燃燒箭(種子),
plantedArrowFlamingBulletSeedlingDesc,blocks,Farming,,,A magical plant that grows Flaming Arrow ammo.,,,,,,燃焼矢の弾丸を成長させる魔法の植物。,,,,,,会生长燃烧箭的神奇植物。,會生長燃燒箭的神奇植物。,
plantedArrowFlamingBullet2,blocks,Farming,,,Flaming Arrow Ammo (growing),,,,,,燃焼矢（成長中）,,,,,,燃烧箭(生长中),燃燒箭(生長中),
plantedArrowFlamingBullet3,blocks,Farming,,,Flaming Arrow Ammo (mature),,,,,,燃焼矢（成熟）,,,,,,燃烧箭(成熟),燃燒箭(成熟),
plantedArrowExplodingBulletSeedling,blocks,Farming,,,Exploding Arrow Ammo (seed),,,,,,爆発矢（種子）,,,,,,爆炸箭(种子),爆炸箭(種子),
plantedArrowExplodingBulletSeedlingDesc,blocks,Farming,,,A magical plant that grows Exploding Arrow ammo.,,,,,,爆発矢の弾丸を成長させる魔法の植物。,,,,,,会生长爆炸箭的神奇植物。,會生長爆炸箭的神奇植物。,
plantedArrowExplodingBullet2,blocks,Farming,,,Exploding Arrow Ammo (growing),,,,,,爆発矢（成長中）,,,,,,爆炸箭(生长中),爆炸箭(生長中),
plantedArrowExplodingBullet3,blocks,Farming,,,Exploding Arrow Ammo (mature),,,,,,爆発矢（成熟）,,,,,,爆炸箭(成熟),爆炸箭(成熟),
plantedCrossbowBoltIronBulletSeedling,blocks,Farming,,,Iron Crossbow Bolt (seed),,,,,,クロスボウ用鉄ボルト（種子）,,,,,,铁弩箭(种子),鐵十字弓箭(種子),
plantedCrossbowBoltIronBulletSeedlingDesc,blocks,Farming,,,A magical plant that grows Iron Crossbow Bolts.,,,,,,クロスボウ用鉄ボルトの弾丸を成長させる魔法の植物。,,,,,,会生长铁弩箭的神奇植物。,會生長鐵十字弓箭的神奇植物。,
plantedCrossbowBoltIronBullet2,blocks,Farming,,,Iron Crossbow Bolt (growing),,,,,,クロスボウ用鉄ボルト（成長中）,,,,,,铁弩箭(生长中),鐵十字弓箭(生長中),
plantedCrossbowBoltIronBullet3,blocks,Farming,,,Iron Crossbow Bolt (mature),,,,,,クロスボウ用鉄ボルト（成熟）,,,,,,铁弩箭(成熟),鐵十字弓箭(成熟),
plantedCrossbowBoltSteelAPBulletSeedling,blocks,Farming,,,Steel Crossbow Bolt (seed),,,,,,クロスボウ用鉄鋼ボルト（種子）,,,,,,钢弩箭(种子),鋼十字弓箭(種子),
plantedCrossbowBoltSteelAPBulletSeedlingDesc,blocks,Farming,,,A magical plant that grows Steel Crossbow Bolts.,,,,,,クロスボウ用鉄鋼ボルトの弾丸を成長させる魔法の植物。,,,,,,会生长钢弩箭的神奇植物。,會生長鋼十字弓箭的神奇植物。,
plantedCrossbowBoltSteelAPBullet2,blocks,Farming,,,Steel Crossbow Bolt (growing),,,,,,クロスボウ用鉄鋼ボルト（成長中）,,,,,,钢弩箭(生长中),鋼十字弓箭(生長中),
plantedCrossbowBoltSteelAPBullet3,blocks,Farming,,,Steel Crossbow Bolt (mature),,,,,,クロスボウ用鉄鋼ボルト（成熟）,,,,,,钢弩箭(成熟),鋼十字弓箭(成熟),
plantedCrossbowBoltFlamingBulletSeedling,blocks,Farming,,,Flaming Crossbow Bolt (seed),,,,,,クロスボウ用燃焼ボルト（種子）,,,,,,燃烧弩箭(种子),燃燒十字弓箭(種子),
plantedCrossbowBoltFlamingBulletSeedlingDesc,blocks,Farming,,,A magical plant that grows Flaming Crossbow Bolts.,,,,,,クロスボウ用燃焼ボルトの弾丸を成長させる魔法の植物。,,,,,,会生长燃烧弩箭的神奇植物。,會生長燃燒十字弓箭的神奇植物。,
plantedCrossbowBoltFlamingBullet2,blocks,Farming,,,Flaming Crossbow Bolt (growing),,,,,,クロスボウ用燃焼ボルト（成長中）,,,,,,燃烧弩箭(生长中),燃燒十字弓箭(生長中),
plantedCrossbowBoltFlamingBullet3,blocks,Farming,,,Flaming Crossbow Bolt (mature),,,,,,クロスボウ用燃焼ボルト（成熟）,,,,,,燃烧弩箭(成熟),燃燒十字弓箭(成熟),
plantedCrossbowBoltExplodingBulletSeedling,blocks,Farming,,,Exploding Crossbow Bolts (seed),,,,,,クロスボウ用爆発ボルト（種子）,,,,,,爆炸弩箭(种子),爆炸十字弓箭(種子),
plantedCrossbowBoltExplodingBulletSeedlingDesc,blocks,Farming,,,A magical plant that grows Exploding Crossbow Boltss.,,,,,,クロスボウ用爆発ボルトの弾丸を成長させる魔法の植物。,,,,,,会生长爆炸弩箭的神奇植物。,會生長爆炸十字弓箭的神奇植物。,
plantedCrossbowBoltExplodingBullet2,blocks,Farming,,,Exploding Crossbow Bolts (growing),,,,,,クロスボウ用爆発ボルト（成長中）,,,,,,爆炸弩箭(生长中),爆炸十字弓箭(生長中),
plantedCrossbowBoltExplodingBullet3,blocks,Farming,,,Exploding Crossbow Bolts (mature),,,,,,クロスボウ用爆発ボルト（成熟）,,,,,,爆炸弩箭(成熟),爆炸十字弓箭(成熟),
plantedPipeBombSeedling,blocks,Farming,,,Pipe Bomb (seed),,,,,,パイプ爆弾（種子）,,,,,,管状炸弹(种子),管狀炸彈(種子),
plantedPipeBombSeedlingDesc,blocks,Farming,,,A magical plant that grows Pipe Bombs.,,,,,,パイプ爆弾の弾丸を成長させる魔法の植物。,,,,,,会生长管状炸弹的神奇植物。,會生長管狀炸彈的神奇植物。,
plantedPipeBomb2,blocks,Farming,,,Pipe Bomb (growing),,,,,,パイプ爆弾（成長中）,,,,,,管状炸弹(生长中),管狀炸彈(生長中),
plantedPipeBomb3,blocks,Farming,,,Pipe Bomb (mature),,,,,,パイプ爆弾（成熟）,,,,,,管状炸弹(成熟),管狀炸彈(成熟),
plantedDynamiteBombSeedling,blocks,Farming,,,Stick of Dynamite (seed),,,,,,ダイナマイトスティック（種子）,,,,,,柱状炸药(种子),柱狀炸藥包(種子),
plantedDynamiteBombSeedlingDesc,blocks,Farming,,,A magical plant that grows Stick of Dynamite.,,,,,,ダイナマイトスティックの弾丸を成長させる魔法の植物。,,,,,,会生长柱状炸药的神奇植物。,會生長柱狀炸藥包的神奇植物。,
plantedDynamiteBomb2,blocks,Farming,,,Stick of Dynamite (growing),,,,,,ダイナマイトスティック（成長中）,,,,,,柱状炸药(生长中),柱狀炸藥包(生長中),
plantedDynamiteBomb3,blocks,Farming,,,Stick of Dynamite (mature),,,,,,ダイナマイトスティック（成熟）,,,,,,柱状炸药(成熟),柱狀炸藥包(成熟),
plantedGrenadeSeedling,blocks,Farming,,,Grenade (seed),,,,,,手榴弾（種子）,,,,,,手雷(种子),手榴彈(種子),
plantedGrenadeSeedlingDesc,blocks,Farming,,,A magical plant that grows Grenade.,,,,,,手榴弾の弾丸を成長させる魔法の植物。,,,,,,会生长手雷的神奇植物。,會生長手榴彈的神奇植物。,
plantedGrenade2,blocks,Farming,,,Grenade (growing),,,,,,手榴弾（成長中）,,,,,,手雷(生长中),手榴彈(生長中),
plantedGrenade3,blocks,Farming,,,Grenade (mature),,,,,,手榴弾（成熟）,,,,,,手雷(成熟),手榴彈(成熟),
plantedGrenadeContactSeedling,blocks,Farming,,,Contact Grenade (seed),,,,,,接触起爆手榴弾（種子）,,,,,,触炸手雷(种子),觸發手榴彈(種子),
plantedGrenadeContactSeedlingDesc,blocks,Farming,,,A magical plant that grows Contact Grenade.,,,,,,接触起爆手榴弾の弾丸を成長させる魔法の植物。,,,,,,会生长触炸手雷的神奇植物。,會生長觸發手榴彈的神奇植物。,
plantedGrenadeContact2,blocks,Farming,,,Contact Grenade (growing),,,,,,接触起爆手榴弾（成長中）,,,,,,触炸手雷(生长中),觸發手榴彈(生長中),
plantedGrenadeContact3,blocks,Farming,,,Contact Grenade (mature),,,,,,接触起爆手榴弾（成熟）,,,,,,触炸手雷(成熟),觸發手榴彈(成熟),
plantedTimedChargeSeedling,blocks,Farming,,,Timed Charge (seed),,,,,,時限爆弾（種子）,,,,,,定时炸弹(种子),定時炸彈(種子),
plantedTimedChargeSeedlingDesc,blocks,Farming,,,A magical plant that grows Timed Charge.,,,,,,時限爆弾の弾丸を成長させる魔法の植物。,,,,,,会生长定时炸弹的神奇植物。,會生長定時炸彈的神奇植物。,
plantedTimedCharge2,blocks,Farming,,,Timed Charge (growing),,,,,,時限爆弾（成長中）,,,,,,定时炸弹(生长中),定時炸彈(生長中),
plantedTimedCharge3,blocks,Farming,,,Timed Charge (mature),,,,,,時限爆弾（成熟）,,,,,,定时炸弹(成熟),定時炸彈(成熟),
plantedMolotovCocktailSeedling,blocks,Farming,,,Molotov Cocktail (seed),,,,,,モロトフ・カクテル（種子）,,,,,,燃烧瓶(种子),燃燒彈(種子),
plantedMolotovCocktailSeedlingDesc,blocks,Farming,,,A magical plant that grows Molotov Cocktail.,,,,,,モロトフ・カクテルの弾丸を成長させる魔法の植物。,,,,,,会生长燃烧瓶的神奇植物。,會生長燃燒彈的神奇植物。,
plantedMolotovCocktail2,blocks,Farming,,,Molotov Cocktail (growing),,,,,,モロトフ・カクテル（成長中）,,,,,,燃烧瓶(生长中),燃燒彈(生長中),
plantedMolotovCocktail3,blocks,Farming,,,Molotov Cocktail (mature),,,,,,モロトフ・カクテル（成熟）,,,,,,燃烧瓶(成熟),燃燒彈(成熟),
plantedMineHubcapSeedling,blocks,Farming,,,Hubcap Land Mine (seed),,,,,,ハブキャップ地雷（種子）,,,,,,轮毂盖地雷(种子),輪轂蓋地雷(種子),
plantedMineHubcapSeedlingDesc,blocks,Farming,,,A magical plant that grows Hubcap Land Mine.,,,,,,ハブキャップ地雷の弾丸を成長させる魔法の植物。,,,,,,会生长轮毂盖地雷的神奇植物。,會生長輪轂蓋地雷的神奇植物。,
plantedMineHubcap2,blocks,Farming,,,Hubcap Land Mine (growing),,,,,,ハブキャップ地雷（成長中）,,,,,,轮毂盖地雷(生长中),輪轂蓋地雷(生長中),
plantedMineHubcap3,blocks,Farming,,,Hubcap Land Mine (mature),,,,,,ハブキャップ地雷（成熟）,,,,,,轮毂盖地雷(成熟),輪轂蓋地雷(成熟),

planted9mmBulletSeedlingSchematic,blocks,Farming,,,9mm bullet seed recipe,,,,,,9mmの弾丸種子レシピ,,,,,,9mm子弹种子合成配方,9mm子彈種子合成配方,
plantedBulletSeedlingSchematicDesc,blocks,Farming,,,"After learning the production method, you can make it yourself.",,,,,,制作方法を学んだら自分で作れます。,,,,,,习得製作方法后，可以自己进行製造。,習得製作方法後，可以自己進行製造。,
planted44BulletSeedlingSchematic,blocks,Farming,,,.44 bullet seed recipe,,,,,,.44の弾丸種子レシピ,,,,,,.44子弹种子合成配方,.44子彈種子合成配方,
planted762BulletSeedlingSchematic,blocks,Farming,,,7.62mm bullet seed recipe,,,,,,7.62mmの弾丸種子レシピ,,,,,,7.62mm子弹种子合成配方,7.62mm子彈種子合成配方,
plantedShotgunShellBulletSeedlingSchematic,blocks,Farming,,,Shotgun bullet seed recipe,,,,,,ショットガンの弾丸種子レシピ,,,,,,霰弹子弹种子合成配方,霰彈子彈種子合成配方,
plantedShotgunSlugBulletSeedlingSchematic,blocks,Farming,,,Armor-piercing bullet seed recipe,,,,,,装甲貫通弾の弾丸種子レシピ,,,,,,穿甲弹种子合成配方,穿甲彈種子合成配方,
plantedShotgunBreachingSlugBulletSeedlingSchematic,blocks,Farming,,,Fragment bullet seed recipe,,,,,,破片爆弾の弾丸種子レシピ,,,,,,突破弹种子合成配方,突破彈種子合成配方,
plantedBlunderbussBulletSeedlingSchematic,blocks,Farming,,,Blunderbuss ammo seed recipe,,,,,,ラッパ銃用弾薬の弾丸種子レシピ,,,,,,雷筒弹药种子合成配方,雷筒彈藥種子合成配方,
plantedJunkTurretRegularBulletSeedlingSchematic,blocks,Farming,,,Robotic Turret ammo seed recipe,,,,,,ロボット砲台用弾薬の弾丸種子レシピ,,,,,,机器人炮塔弹药种子合成配方,機器人炮塔彈藥種子合成配方,
plantedRocketHEBulletSeedlingSchematic,blocks,Farming,,,Rocket HE ammo seed recipe,,,,,,榴弾ロケットの弾丸種子レシピ,,,,,,高爆火箭弹种子合成配方,火箭高爆彈種子合成配方,
plantedRocketFragBulletSeedlingSchematic,blocks,Farming,,,Rocket Frag ammo seed recipe,,,,,,破砕ロケットの弾丸種子レシピ,,,,,,火箭弹种子合成配方,火箭彈種子合成配方,
plantedArrowIronBulletSeedlingSchematic,blocks,Farming,,,Iron Arrow ammo seed recipe,,,,,,鉄矢の弾丸種子レシピ,,,,,,铁箭种子合成配方,鐵箭種子合成配方,
plantedArrowSteelAPBulletSeedlingSchematic,blocks,Farming,,,Steel Arrow ammo seed recipe,,,,,,鉄鋼矢の弾丸種子レシピ,,,,,,钢箭种子合成配方,鋼箭種子合成配方,
plantedArrowFlamingBulletSeedlingSchematic,blocks,Farming,,,Flaming Arrow ammo seed recipe,,,,,,燃焼矢の弾丸種子レシピ,,,,,,燃烧箭种子合成配方,燃燒箭種子合成配方,
plantedArrowExplodingBulletSeedlingSchematic,blocks,Farming,,,Exploding Arrow ammo seed recipe,,,,,,爆発矢の弾丸種子レシピ,,,,,,爆炸箭种子合成配方,爆炸箭種子合成配方,
plantedCrossbowBoltIronBulletSeedlingSchematic,blocks,Farming,,,Iron Crossbow Bolt seed recipe,,,,,,クロスボウ用鉄ボルトの弾丸種子レシピ,,,,,,铁弩箭种子合成配方,鐵十字弓箭種子合成配方,
plantedCrossbowBoltSteelAPBulletSeedlingSchematic,blocks,Farming,,,Steel Crossbow Bolt seed recipe,,,,,,クロスボウ用鉄鋼ボルトの弾丸種子レシピ,,,,,,钢弩箭种子合成配方,鋼十字弓箭種子合成配方,
plantedCrossbowBoltFlamingBulletSeedlingSchematic,blocks,Farming,,,Flaming Crossbow Bolt seed recipe,,,,,,クロスボウ用燃焼ボルトの弾丸種子レシピ,,,,,,燃烧弩箭种子合成配方,燃燒十字弓箭種子合成配方,
plantedCrossbowBoltExplodingBulletSeedlingSchematic,blocks,Farming,,,Exploding Crossbow Bolt seed recipe,,,,,,クロスボウ用爆発ボルトの弾丸種子レシピ,,,,,,爆炸弩箭种子合成配方,爆炸十字弓箭種子合成配方,
plantedPipeBombSeedlingSchematic,blocks,Farming,,,Pipe Bomb seed recipe,,,,,,パイプ爆弾の種子レシピ,,,,,,管状炸弹种子合成配方,管狀炸彈種子合成配方,
plantedDynamiteBombSeedlingSchematic,blocks,Farming,,,Stick of Dynamite seed recipe,,,,,,ダイナマイトスティックの種子レシピ,,,,,,柱状炸药种子合成配方,柱狀炸藥包種子合成配方,
plantedGrenadeSeedlingSchematic,blocks,Farming,,,Grenade seed recipe,,,,,,手榴弾の種子レシピ,,,,,,手雷种子合成配方,手榴彈種子合成配方,
plantedGrenadeContactSeedlingSchematic,blocks,Farming,,,Contact Grenade seed recipe,,,,,,接触起爆手榴弾の種子レシピ,,,,,,触炸手雷种子合成配方,觸發手榴彈種子合成配方,
plantedTimedChargeSeedlingSchematic,blocks,Farming,,,Timed Charge seed recipe,,,,,,時限爆弾の種子レシピ,,,,,,定时炸弹种子合成配方,定時炸彈種子合成配方,
plantedMolotovCocktailSeedlingSchematic,blocks,Farming,,,Molotov Cocktail seed recipe,,,,,,モロトフ・カクテルの種子レシピ,,,,,,燃烧瓶种子合成配方,燃燒彈種子合成配方,
plantedMineHubcapSeedlingSchematic,blocks,Farming,,,Hubcap Land Mine seed recipe,,,,,,ハブキャップ地雷の種子レシピ,,,,,,轮毂盖地雷种子合成配方,輪轂蓋地雷種子合成配方,
